汉字编号,拼音首字,汉字
32768,Y,耀
32769,L,老
32770,L,耂
32771,K,考
32772,M,耄
32773,Z,者
32774,Q,耆
32775,G,耇
32776,G,耈
32777,G,耉
32778,D,耊
32779,D,耋
32780,E,而
32781,S,耍
32782,R,耎
32783,E,耏
32784,N,耐
32785,D,耑
32786,L,耒
32787,T,耓
32788,Z,耔
32789,G,耕
32790,C,耖
32791,H,耗
32792,Y,耘
32793,P,耙
32794,P,耚
32795,C,耛
32796,S,耜
32797,Q,耝
32798,J,耞
32799,J,耟
32800,H,耠
32801,C,耡
32802,L,耢
32803,L,耣
32804,J,耤
32805,T,耥
32806,O,耦
32807,L,耧
32808,N,耨
32809,J,耩
32810,P,耪
32811,Z,耫
32812,L,耬
32813,J,耭
32814,L,耮
32815,H,耯
32816,Y,耰
32817,M,耱
32818,H,耲
32819,E,耳
32820,Y,耴
32821,D,耵
32822,Y,耶
32823,D,耷
32824,S,耸
32825,Q,耹
32826,Y,耺
32827,C,耻
32828,D,耼
32829,D,耽
32830,H,耾
32831,G,耿
32832,Z,聀
32833,Z,聁
32834,N,聂
32835,D,聃
32836,Z,聄
32837,C,聅
32838,L,聆
32839,Z,聇
32840,Y,聈
32841,W,聉
32842,L,聊
32843,L,聋
32844,Z,职
32845,N,聍
32846,T,聎
32847,E,聏
32848,Y,聐
32849,T,聑
32850,G,聒
32851,S,聓
32852,L,联
32853,H,聕
32854,S,聖
32855,L,聗
32856,P,聘
32857,J,聙
32858,J,聚
32859,B,聛
32860,D,聜
32861,G,聝
32862,W,聞
32863,X,聟
32864,P,聠
32865,C,聡
32866,D,聢
32867,D,聣
32868,T,聤
32869,J,聥
32870,C,聦
32871,K,聧
32872,L,聨
32873,K,聩
32874,C,聪
32875,L,聫
32876,W,聬
32877,K,聭
32878,L,聮
32879,L,聯
32880,C,聰
32881,A,聱
32882,S,聲
32883,S,聳
32884,T,聴
32885,K,聵
32886,N,聶
32887,Z,職
32888,D,聸
32889,N,聹
32890,Q,聺
32891,J,聻
32892,T,聼
32893,T,聽
32894,L,聾
32895,Y,聿
32896,N,肀
32897,Z,肁
32898,S,肂
32899,S,肃
32900,Y,肄
32901,S,肅
32902,S,肆
32903,Z,肇
32904,Z,肈
32905,R,肉
32906,Y,肊
32907,L,肋
32908,J,肌
32909,Q,肍
32910,K,肎
32911,C,肏
32912,G,肐
32913,D,肑
32914,H,肒
32915,H,肓
32916,C,肔
32917,R,肕
32918,X,肖
32919,R,肗
32920,Z,肘
32921,Y,肙
32922,D,肚
32923,G,肛
32924,R,肜
32925,G,肝
32926,C,肞
32927,W,肟
32928,C,肠
32929,G,股
32930,Z,肢
32931,H,肣
32932,F,肤
32933,F,肥
32934,F,肦
32935,P,肧
32936,P,肨
32937,J,肩
32938,F,肪
32939,Z,肫
32940,Y,肬
32941,N,肭
32942,A,肮
32943,K,肯
32944,R,肰
32945,G,肱
32946,Y,育
32947,W,肳
32948,Y,肴
32949,Q,肵
32950,P,肶
32951,Q,肷
32952,X,肸
32953,X,肹
32954,F,肺
32955,K,肻
32956,J,肼
32957,T,肽
32958,S,肾
32959,Z,肿
32960,Z,胀
32961,X,胁
32962,S,胂
32963,W,胃
32964,Z,胄
32965,D,胅
32966,D,胆
32967,B,胇
32968,B,胈
32969,B,胉
32970,Q,胊
32971,T,胋
32972,B,背
32973,G,胍
32974,T,胎
32975,Z,胏
32976,F,胐
32977,Z,胑
32978,N,胒
32979,P,胓
32980,Z,胔
32981,F,胕
32982,P,胖
32983,Z,胗
32984,X,胘
32985,Z,胙
32986,P,胚
32987,J,胛
32988,S,胜
32989,Z,胝
32990,B,胞
32991,M,胟
32992,Q,胠
32993,H,胡
32994,K,胢
32995,C,胣
32996,Y,胤
32997,X,胥
32998,Y,胦
32999,L,胧
33000,D,胨
33001,K,胩
33002,L,胪
33003,J,胫
33004,N,胬
33005,Y,胭
33006,P,胮
33007,K,胯
33008,Y,胰
33009,G,胱
33010,H,胲
33011,G,胳
33012,D,胴
33013,C,胵
33014,J,胶
33015,X,胷
33016,X,胸
33017,E,胹
33018,A,胺
33019,H,胻
33020,P,胼
33021,N,能
33022,Z,胾
33023,G,胿
33024,C,脀
33025,T,脁
33026,Z,脂
33027,C,脃
33028,M,脄
33029,X,脅
33030,C,脆
33031,X,脇
33032,M,脈
33033,M,脉
33034,J,脊
33035,X,脋
33036,N,脌
33037,K,脍
33038,S,脎
33039,Z,脏
33040,Q,脐
33041,N,脑
33042,M,脒
33043,N,脓
33044,L,脔
33045,W,脕
33046,B,脖
33047,W,脗
33048,W,脘
33049,X,脙
33050,J,脚
33051,J,脛
33052,Y,脜
33053,H,脝
